Dates,Temperature,Height,Salinity
2023-01-01,10.652,-0.304,34.75
2023-02-01,9.546,-0.341,34.753
2023-03-01,9.546,-0.367,34.875
2023-04-01,10.592,-0.38,34.818
2023-05-01,12.986,-0.362,34.686
2023-06-01,16.279,-0.333,34.341
2023-07-01,14.668,-0.397,34.855
2023-08-01,15.654,-0.369,34.88
2023-09-01,17.619,-0.293,34.847
2023-10-01,15.879,-0.233,34.947
2023-11-01,13.442,-0.245,34.886
2023-12-01,11.925,-0.288,34.825
2024-01-01,10.191,-0.262,34.704
2024-02-01,9.984,-0.312,34.756
2024-03-01,10.073,-0.368,34.814
2024-04-01,10.808,-0.326,34.87
2024-05-01,13.21,-0.368,34.383
2024-06-01,14.479,-0.402,34.232
2024-07-01,15.654,-0.389,34.528
2024-08-01,16.505,-0.366,34.871
2024-09-01,16.505,-0.304,34.864
2024-10-01,15.466,-0.245,34.998
2024-11-01,14.466,-0.217,35.061
2024-12-01,12.343,-0.304,35.035
